t,ax,ay,az,gx,gy,gz
0.05350,-402,320,-33,-3,7,1
0.05354,-402,320,-33,-3,7,1
0.05359,-400,320,-30,-3,7,1
0.05360,-400,320,-30,-3,7,1
0.05361,-400,320,-30,-3,7,1
0.05362,-403,320,-23,-3,7,1
0.05367,-403,320,-23,-3,7,1
0.05372,-403,320,-19,-3,7,1
0.05374,-403,320,-19,-3,7,1
0.05375,-401,320,-19,-3,7,1
0.05376,-401,320,-19,-3,7,1
0.05376,-401,320,-19,-3,7,1
0.05377,-403,319,-25,-3,7,1
0.05377,-403,319,-25,-3,7,1
0.05377,-407,318,-31,-3,7,1
0.05384,-407,318,-31,-3,7,1
0.10822,-402,317,-23,-3,7,1
0.10828,-402,317,-23,-3,7,1
0.10841,-406,317,-25,-3,7,1
0.10852,-406,317,-25,-3,7,1
0.10856,-406,317,-25,-3,7,1
0.10858,-408,321,-29,-3,7,1
0.10862,-408,321,-29,-3,7,1
0.10863,-406,322,-33,-3,7,1
0.10866,-406,322,-33,-3,7,1
0.10876,-405,322,-34,-3,7,1
0.10878,-405,322,-34,-3,7,1
0.10879,-405,322,-34,-3,7,1
0.10880,-405,321,-31,-3,7,1
0.10882,-405,321,-31,-3,7,1
0.10893,-401,322,-25,-3,7,1
0.10902,-401,322,-25,-3,7,1
0.16397,-405,321,-31,-3,7,1
0.16402,-404,320,-31,-3,7,1
0.16407,-404,320,-31,-3,7,1
0.16408,-402,319,-27,-3,7,1
0.16413,-402,319,-27,-3,7,1
0.16419,-402,319,-27,-3,7,1
0.16421,-401,318,-22,-3,7,1
0.16426,-401,318,-22,-3,7,1
0.16428,-401,319,-20,-3,7,1
0.16430,-401,319,-20,-3,7,1
0.16431,-401,319,-20,-3,7,1
0.16434,-403,319,-23,-3,7,1
0.16441,-403,319,-23,-3,7,1
0.16443,-405,321,-27,-3,7,1
0.16444,-405,321,-27,-3,7,1
0.16445,-405,321,-27,-3,7,1
0.21477,-406,318,-29,-3,7,1
0.21484,-406,318,-29,-3,7,1
0.21495,-407,318,-32,-3,7,1
0.21499,-407,318,-32,-3,7,1
0.21501,-406,320,-33,-3,7,1
0.21505,-406,320,-33,-3,7,1
0.21507,-405,322,-33,-3,7,1
0.21523,-405,322,-33,-3,7,1
0.21527,-405,322,-33,-3,7,1
0.21529,-405,320,-30,-3,7,1
0.21532,-405,320,-30,-3,7,1
0.21543,-402,320,-26,-3,7,1
0.21546,-402,320,-26,-3,7,1
0.21549,-402,320,-26,-3,7,1
0.21559,-397,321,-23,-3,7,1
0.21561,-397,321,-23,-3,7,1
0.26950,-408,320,-31,-3,7,1
0.26956,-408,321,-34,-3,7,1
0.26966,-408,321,-34,-3,7,1
0.26972,-405,322,-33,-3,7,1
0.26974,-405,322,-33,-3,7,1
0.26976,-405,322,-33,-3,7,1
0.26987,-402,321,-29,-3,7,1
