t,ax,ay,az,gx,gy,gz
0.05512,-403,321,-28,7,-5,-1
0.05523,-402,321,-23,7,-5,-1
0.05528,-402,321,-23,7,-5,-1
0.05542,-401,320,-21,7,-5,-1
0.05550,-401,320,-21,7,-5,-1
0.05552,-401,320,-21,7,-5,-1
0.05571,-401,319,-24,7,-5,-1
0.05580,-401,319,-24,7,-5,-1
0.05761,-401,320,-27,7,-5,-1
0.05777,-401,320,-27,7,-5,-1
0.05782,-401,320,-27,7,-5,-1
0.05798,-403,320,-31,7,-5,-1
0.05802,-403,320,-31,7,-5,-1
0.05872,-407,319,-32,7,-5,-1
0.05887,-407,319,-32,7,-5,-1
0.05889,-407,318,-31,7,-5,-1
0.11348,-408,319,-31,7,-5,-1
0.11354,-408,319,-31,7,-5,-1
0.11367,-407,320,-32,7,-5,-1
0.11374,-407,320,-32,7,-5,-1
0.11378,-407,320,-32,7,-5,-1
0.11380,-404,320,-30,7,-5,-1
0.11387,-404,320,-30,7,-5,-1
0.11393,-402,322,-26,7,-5,-1
0.11399,-402,322,-26,7,-5,-1
0.11408,-402,322,-26,7,-5,-1
0.11415,-402,322,-24,7,-5,-1
0.11419,-402,322,-24,7,-5,-1
0.11426,-402,320,-23,7,-5,-1
0.11429,-402,320,-23,7,-5,-1
0.11431,-402,320,-23,7,-5,-1
0.11438,-400,320,-25,7,-5,-1
0.16825,-405,320,-31,7,-5,-1
0.16830,-405,320,-31,7,-5,-1
0.16838,-405,320,-31,7,-5,-1
0.16841,-406,319,-32,7,-5,-1
0.16843,-406,319,-32,7,-5,-1
0.16844,-406,319,-32,7,-5,-1
0.16846,-406,319,-32,7,-5,-1
0.16856,-406,319,-32,7,-5,-1
0.16859,-404,319,-32,7,-5,-1
0.16861,-404,319,-32,7,-5,-1
0.16862,-402,320,-31,7,-5,-1
0.16865,-402,320,-31,7,-5,-1
0.16875,-402,320,-31,7,-5,-1
0.16877,-401,320,-27,7,-5,-1
0.16878,-401,320,-27,7,-5,-1
0.16886,-400,320,-24,7,-5,-1
0.22144,-402,321,-26,7,-5,-1
0.22155,-402,321,-26,7,-5,-1
0.22201,-400,321,-23,7,-5,-1
0.22210,-400,321,-23,7,-5,-1
0.22215,-400,321,-23,7,-5,-1
0.22323,-400,320,-23,7,-5,-1
0.22343,-400,320,-23,7,-5,-1
0.22364,-400,320,-24,7,-5,-1
0.22367,-400,320,-24,7,-5,-1
0.22393,-400,320,-24,7,-5,-1
0.22437,-401,319,-26,7,-5,-1
0.22447,-401,319,-26,7,-5,-1
0.22449,-405,319,-27,7,-5,-1
0.22450,-405,319,-27,7,-5,-1
0.22452,-407,320,-29,7,-5,-1
0.22453,-407,320,-29,7,-5,-1
0.27682,-404,319,-30,7,-5,-1
0.27689,-404,319,-30,7,-5,-1
0.27695,-404,318,-33,7,-5,-1
0.27712,-404,318,-33,7,-5,-1
0.27722,-404,318,-33,7,-5,-1
0.27726,-406,318,-33,7,-5,-1
0.27734,-406,318,-33,7,-5,-1
0.27735,-406,318,-31,7,-5,-1
0.27736,-406,318,-31,7,-5,-1
0.27737,-405,320,-30,7,-5,-1
0.27739,-405,320,-30,7,-5,-1
0.27739,-405,320,-30,7,-5,-1
0.27745,-402,321,-30,7,-5,-1
0.27747,-402,321,-30,7,-5,-1
0.27750,-401,320,-28,7,-5,-1
0.27751,-401,320,-28,7,-5,-1
0.33263,-401,320,-25,7,-5,-1
0.33270,-401,320,-25,7,-5,-1
0.33280,-401,320,-25,7,-5,-1
0.33289,-400,320,-23,7,-5,-1
0.33297,-400,320,-23,7,-5,-1
0.33304,-400,319,-23,7,-5,-1
0.33306,-400,319,-23,7,-5,-1
0.33308,-399,319,-25,7,-5,-1
0.33324,-399,319,-25,7,-5,-1
0.33327,-399,319,-25,7,-5,-1
0.33329,-402,319,-28,7,-5,-1
0.33343,-402,319,-28,7,-5,-1
0.33346,-405,319,-29,7,-5,-1
0.33359,-405,319,-29,7,-5,-1
0.33364,-405,319,-29,7,-5,-1
0.33383,-408,319,-30,7,-5,-1
0.38899,-408,318,-32,7,-5,-1
0.38906,-408,318,-32,7,-5,-1
0.38922,-408,319,-31,7,-5,-1
0.38932,-408,319,-31,7,-5,-1
0.38942,-408,319,-31,7,-5,-1
0.38959,-405,320,-29,7,-5,-1
0.38966,-405,320,-29,7,-5,-1
0.38979,-402,321,-27,7,-5,-1
0.38982,-402,321,-27,7,-5,-1
0.38984,-402,321,-27,7,-5,-1
0.38986,-399,322,-23,7,-5,-1
0.39000,-399,322,-23,7,-5,-1
0.39007,-399,322,-21,7,-5,-1
0.39020,-399,322,-21,7,-5,-1
0.39062,-399,322,-21,7,-5,-1
0.39082,-400,321,-22,7,-5,-1
0.44598,-399,321,-25,7,-5,-1
0.44606,-399,321,-25,7,-5,-1
0.44614,-400,320,-26,7,-5,-1
0.44616,-400,320,-26,7,-5,-1
0.44624,-403,318,-26,7,-5,-1
0.44631,-403,318,-26,7,-5,-1
0.44635,-403,318,-26,7,-5,-1
0.44637,-405,320,-28,7,-5,-1
0.44640,-405,320,-28,7,-5,-1
0.44644,-406,320,-32,7,-5,-1
0.44653,-406,320,-32,7,-5,-1
0.44659,-406,320,-32,7,-5,-1
0.44662,-405,320,-34,7,-5,-1
0.44664,-405,320,-34,7,-5,-1
0.44672,-402,321,-32,7,-5,-1
0.44678,-402,321,-32,7,-5,-1
0.49912,-400,321,-27,7,-5,-1
0.49918,-400,321,-27,7,-5,-1
0.49931,-400,320,-24,7,-5,-1
0.49933,-400,320,-24,7,-5,-1
0.49935,-402,320,-23,7,-5,-1
0.49936,-402,320,-23,7,-5,-1
0.49947,-402,320,-23,7,-5,-1
0.49951,-402,320,-25,7,-5,-1
0.49958,-402,320,-25,7,-5,-1
0.49962,-403,320,-29,7,-5,-1
0.49965,-403,320,-29,7,-5,-1
0.49972,-403,320,-29,7,-5,-1
0.49979,-404,319,-31,7,-5,-1
0.49982,-404,319,-31,7,-5,-1
0.49985,-405,319,-31,7,-5,-1
0.49995,-405,319,-31,7,-5,-1
0.55470,-402,319,-26,7,-5,-1
0.55476,-402,319,-26,7,-5,-1
0.55488,-404,319,-29,7,-5,-1
0.55492,-404,319,-29,7,-5,-1
0.55496,-404,319,-29,7,-5,-1
0.55522,-406,319,-30,7,-5,-1
0.55524,-406,319,-30,7,-5,-1
0.55526,-407,319,-30,7,-5,-1
0.55528,-407,319,-30,7,-5,-1
0.55539,-407,319,-30,7,-5,-1
0.55542,-405,320,-32,7,-5,-1
0.55544,-405,320,-32,7,-5,-1
0.55553,-402,320,-31,7,-5,-1
0.55556,-402,320,-31,7,-5,-1
0.55560,-400,319,-28,7,-5,-1
0.55566,-400,319,-28,7,-5,-1
0.60668,-400,321,-26,7,-5,-1
0.60678,-400,321,-26,7,-5,-1
0.60681,-400,321,-24,7,-5,-1
0.60692,-400,321,-24,7,-5,-1
0.60694,-401,321,-23,7,-5,-1
0.60696,-401,321,-23,7,-5,-1
0.60698,-401,321,-23,7,-5,-1
0.60700,-402,320,-24,7,-5,-1
0.60711,-402,320,-24,7,-5,-1
0.60714,-405,320,-29,7,-5,-1
0.60724,-405,320,-29,7,-5,-1
0.60732,-405,320,-29,7,-5,-1
0.60735,-408,320,-33,7,-5,-1
0.60740,-408,320,-33,7,-5,-1
0.60745,-407,320,-35,7,-5,-1
0.60747,-407,320,-35,7,-5,-1
0.65927,-401,319,-24,7,-5,-1
0.65933,-403,318,-26,7,-5,-1
0.65940,-403,318,-26,7,-5,-1
0.65942,-405,319,-28,7,-5,-1
0.65947,-405,319,-28,7,-5,-1
0.65952,-405,319,-28,7,-5,-1
0.65953,-407,320,-31,7,-5,-1
0.65954,-407,320,-31,7,-5,-1
0.65956,-407,320,-33,7,-5,-1
0.65964,-407,320,-33,7,-5,-1
0.65965,-407,320,-33,7,-5,-1
0.65966,-403,321,-34,7,-5,-1
0.65968,-403,321,-34,7,-5,-1
0.65969,-401,321,-32,7,-5,-1
0.65973,-401,321,-32,7,-5,-1
0.65975,-401,321,-32,7,-5,-1
0.71428,-407,319,-32,7,-5,-1
0.71433,-406,318,-30,7,-5,-1
0.71449,-406,318,-30,7,-5,-1
0.71454,-406,318,-30,7,-5,-1
0.71465,-404,318,-29,7,-5,-1
0.71470,-404,318,-29,7,-5,-1
0.71478,-402,319,-28,7,-5,-1
0.71480,-402,319,-28,7,-5,-1
0.71481,-402,319,-28,7,-5,-1
0.71483,-399,319,-27,7,-5,-1
0.71484,-399,319,-27,7,-5,-1
0.71485,-397,318,-24,7,-5,-1
0.71490,-397,318,-24,7,-5,-1
0.71497,-397,318,-24,7,-5,-1
0.71501,-399,318,-21,7,-5,-1
0.71502,-399,318,-21,7,-5,-1
0.76938,-400,319,-25,7,-5,-1
0.76949,-400,319,-25,7,-5,-1
0.76953,-402,317,-26,7,-5,-1
0.76957,-402,317,-26,7,-5,-1
0.76961,-403,318,-27,7,-5,-1
0.76962,-403,318,-27,7,-5,-1
0.76963,-403,318,-27,7,-5,-1
0.76970,-405,320,-30,7,-5,-1
0.76971,-405,320,-30,7,-5,-1
0.76972,-406,320,-32,7,-5,-1
0.76974,-406,320,-32,7,-5,-1
0.76975,-406,320,-32,7,-5,-1
0.76978,-404,320,-33,7,-5,-1
0.76979,-404,320,-33,7,-5,-1
0.76981,-401,320,-31,7,-5,-1
0.76982,-401,320,-31,7,-5,-1
0.82401,-406,321,-31,7,-5,-1
0.82415,-406,321,-31,7,-5,-1
0.82428,-404,322,-31,7,-5,-1
0.82442,-404,322,-31,7,-5,-1
0.82455,-404,322,-31,7,-5,-1
0.82466,-401,321,-29,7,-5,-1
0.82468,-401,321,-29,7,-5,-1
0.82471,-401,320,-24,7,-5,-1
0.82473,-401,320,-24,7,-5,-1
0.82486,-401,320,-24,7,-5,-1
0.82496,-400,319,-21,7,-5,-1
0.82513,-400,319,-21,7,-5,-1
0.82516,-401,319,-22,7,-5,-1
0.82523,-401,319,-22,7,-5,-1
